Patch Commit,CVE ID,Introduce,date
"d69e07793f891524c6bbf1e75b9ae69db4450953,181e448d8709e517c9c7b523fcd209f24eb38ca7",CVE-2019-19241,0fa03c624d8f,2019-12-16
6994eefb0053799d2e07cd140df6c2ea106c41ee,CVE-2019-13272,64b875f7ac8a,2019-07-17
de9f869616dd95e95c00bdd6b0fcd3421e8a4323,N,670f928ba09b,2019-06-20
04f5866e41fb70690e28397487d8bd8eea7d712a,2019-11599,86039bd3b4e6,2019-04-30
92117d8443bc5afacc8d5ba82e541946310f106e,,5da784cce4308,2019-04-23
c4c07b4d6fa1f11880eab8e076d3d060ef3f55fc,CVE-2019-9162,cc2d58634e0f,2019-03-01
d2f007dbe7e4c9583eea6eb04d60001e85c6f1bd,CVE-2018-18955,6397fac4915a,2018-11-16
7a9cdebdcc17e426fb5287e4a82db1dfe86339b2,2018-17182,"615d6e8756c8,6b4ebc3a9078",2018-09-26
95a762e2c8c942780948091f8f2a4f32fce1ac6f,CVE-2017-16995,b03c9f9fdc37dab81ea04d5dacdc5995d4c224c2,2018-07-10
0a0b98734479aa5b3c671d5190e86273372cab95,N,3a4d44b61625,2018-05-17
0d0e57697f162da4aa218b5feafe614fb666db07,CVE-2017-9150,cbd357008604925355ae7b54a09137dabb81b580,2017-05-22
